Year,District Code,District Name,Neighborhood Code,Neighborhood Name,Age,Immigrants,Emigrants,Diferencia
2015,8,Nou Barris,55,Ciutat Meridiana,45-49,41,31,10
2015,8,Nou Barris,56,Vallbona,45-49,4,1,3
2015,9,Sant Andreu,57,la Trinitat Vella,45-49,35,26,9
2015,9,Sant Andreu,58,Baró de Viver,45-49,3,6,-3
2015,9,Sant Andreu,59,el Bon Pastor,45-49,37,36,1
2015,9,Sant Andreu,60,Sant Andreu,45-49,117,86,31
2015,9,Sant Andreu,61,la Sagrera,45-49,71,52,19
2015,9,Sant Andreu,62,el Congrés i els Indians,45-49,42,33,9
2015,9,Sant Andreu,63,Navas,45-49,60,40,20
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,45-49,98,87,11
2015,10,Sant Martí,65,el Clot,45-49,81,64,17
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,45-49,38,30,8
2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,45-49,37,18,19
2015,10,Sant Martí,68,el Poblenou,45-49,89,61,28
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,45-49,36,38,-2
2015,10,Sant Martí,70,el Besòs i el Maresme,45-49,103,85,18
2015,10,Sant Martí,71,Provençals del Poblenou,45-49,52,36,16
2015,10,Sant Martí,72,Sant Martí de Provençals,45-49,53,32,21
2015,10,Sant Martí,73,la Verneda i la Pau,45-49,63,67,-4
2015,1,Ciutat Vella,1,el Raval,50-54,162,119,43
2015,1,Ciutat Vella,2,el Barri Gòtic,50-54,60,35,25
2015,1,Ciutat Vella,3,la Barceloneta,50-54,38,25,13
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50-54,71,51,20
2015,2,Eixample,5,el Fort Pienc,50-54,71,55,16
2015,2,Eixample,6,la Sagrada Família,50-54,118,74,44
2015,2,Eixample,7,la Dreta de l'Eixample,50-54,114,68,46
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,50-54,116,67,49
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,50-54,128,90,38
2015,2,Eixample,10,Sant Antoni,50-54,76,64,12
2015,3,Sants-Montjuïc,11,el Poble Sec,50-54,91,88,3
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,50-54,4,0,4
2015,3,Sants-Montjuïc,13,la Marina de Port,50-54,60,64,-4
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,50-54,31,16,15
2015,3,Sants-Montjuïc,15,Hostafrancs,50-54,35,32,3
2015,3,Sants-Montjuïc,16,la Bordeta,50-54,38,22,16
2015,3,Sants-Montjuïc,17,Sants - Badal,50-54,70,51,19
2015,3,Sants-Montjuïc,18,Sants,50-54,87,96,-9
2015,4,Les Corts,19,les Corts,50-54,89,60,29
2015,4,Les Corts,20,la Maternitat i Sant Ramon,50-54,52,42,10
2015,4,Les Corts,21,Pedralbes,50-54,53,23,30
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",50-54,10,2,8
2015,5,Sarrià-Sant Gervasi,23,Sarrià,50-54,57,25,32
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,50-54,37,21,16
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,50-54,64,56,8
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,50-54,111,65,46
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,50-54,71,52,19
2015,6,Gràcia,28,Vallcarca i els Penitents,50-54,24,21,3
2015,6,Gràcia,29,el Coll,50-54,12,6,6
2015,6,Gràcia,30,la Salut,50-54,15,17,-2
2015,6,Gràcia,31,la Vila de Gràcia,50-54,104,78,26
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,50-54,59,28,31
2015,7,Horta-Guinardó,33,el Baix Guinardó,50-54,53,29,24
2015,7,Horta-Guinardó,34,Can Baró,50-54,19,13,6
2015,7,Horta-Guinardó,35,el Guinardó,50-54,63,63,0
2015,7,Horta-Guinardó,36,la Font d'en Fargues,50-54,7,10,-3
2015,7,Horta-Guinardó,37,el Carmel,50-54,64,37,27
2015,7,Horta-Guinardó,38,la Teixonera,50-54,21,13,8
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,50-54,12,11,1
2015,7,Horta-Guinardó,40,Montbau,50-54,11,9,2
2015,7,Horta-Guinardó,41,la Vall d'Hebron,50-54,12,4,8
2015,7,Horta-Guinardó,42,la Clota,50-54,2,2,0
2015,7,Horta-Guinardó,43,Horta,50-54,42,33,9
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,50-54,51,28,23
2015,8,Nou Barris,45,Porta,50-54,51,36,15
2015,8,Nou Barris,46,el Turó de la Peira,50-54,36,28,8
2015,8,Nou Barris,47,Can Peguera,50-54,1,3,-2
2015,8,Nou Barris,48,la Guineueta,50-54,18,15,3
2015,8,Nou Barris,49,Canyelles,50-54,6,4,2
2015,8,Nou Barris,50,les Roquetes,50-54,34,29,5
2015,8,Nou Barris,51,Verdun,50-54,30,21,9
2015,8,Nou Barris,52,la Prosperitat,50-54,55,31,24
2015,8,Nou Barris,53,la Trinitat Nova,50-54,13,15,-2
2015,8,Nou Barris,54,Torre Baró,50-54,6,3,3
