Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated,Date Time
Barcelona - Sants,Good,2.1331,41.3788,,,,3h,Good,17.0,,,,14/11/2018 4:00,1542164702
Barcelona - Eixample,Moderate,2.1538,41.3853,3h,Good,22.0,3h,Good,32.0,3h,Moderate,39.0,14/11/2018 4:00,1542164702
Barcelona - Gràcia,--,2.1534,41.3987,1h,--,,1h,--,,,,,14/11/2018 4:00,1542164702
Barcelona - Ciutadella,Good,2.1874,41.3864,3h,Good,29.0,3h,Good,25.0,,,,14/11/2018 4:00,1542164702
Barcelona - Vall Hebron,Good,2.148,41.4261,3h,Good,55.0,3h,Good,9.0,3h,Good,29.0,14/11/2018 4:00,1542164702
Barcelona - Palau Reial,Good,2.1151,41.3875,3h,Good,55.0,3h,Good,3.0,3h,Good,26.0,14/11/2018 4:00,1542164702
Barcelona - Poblenou,Good,2.2045,41.4039,,,,3h,Good,33.0,3h,Good,30.0,14/11/2018 4:00,1542164702
Barcelona - Observ Fabra,Good,2.1239,41.4183,3h,Good,78.0,3h,Good,3.0,3h,Good,24.0,14/11/2018 4:00,1542164702
Barcelona - Sants,Good,2.1331,41.3788,,,,4h,Good,14.0,,,,14/11/2018 5:00,1542168301
Barcelona - Eixample,Moderate,2.1538,41.3853,4h,Good,15.0,4h,Good,39.0,4h,Moderate,39.0,14/11/2018 5:00,1542168301
Barcelona - Gràcia,Good,2.1534,41.3987,4h,Good,41.0,4h,Good,16.0,,,,14/11/2018 5:00,1542168301
Barcelona - Ciutadella,Good,2.1874,41.3864,4h,Good,23.0,4h,Good,28.0,,,,14/11/2018 5:00,1542168301
Barcelona - Vall Hebron,Good,2.148,41.4261,4h,Good,54.0,4h,Good,10.0,4h,Good,28.0,14/11/2018 5:00,1542168301
Barcelona - Palau Reial,Good,2.1151,41.3875,4h,Good,53.0,4h,Good,5.0,4h,Good,26.0,14/11/2018 5:00,1542168301
Barcelona - Poblenou,Good,2.2045,41.4039,,,,4h,Good,33.0,4h,Good,30.0,14/11/2018 5:00,1542168301
Barcelona - Observ Fabra,Good,2.1239,41.4183,4h,Good,80.0,4h,Good,2.0,4h,Good,23.0,14/11/2018 5:00,1542168301
Barcelona - Sants,Good,2.1331,41.3788,,,,5h,Good,13.0,,,,14/11/2018 6:00,1542171902
Barcelona - Eixample,Moderate,2.1538,41.3853,5h,Good,19.0,5h,Good,35.0,5h,Moderate,39.0,14/11/2018 6:00,1542171902
Barcelona - Gràcia,Good,2.1534,41.3987,5h,Good,42.0,5h,Good,16.0,,,,14/11/2018 6:00,1542171902
Barcelona - Ciutadella,Good,2.1874,41.3864,5h,Good,15.0,5h,Good,26.0,,,,14/11/2018 6:00,1542171902
Barcelona - Vall Hebron,Good,2.148,41.4261,5h,Good,52.0,5h,Good,11.0,5h,Good,28.0,14/11/2018 6:00,1542171902
Barcelona - Palau Reial,Good,2.1151,41.3875,5h,Good,52.0,5h,Good,7.0,5h,Good,26.0,14/11/2018 6:00,1542171902
Barcelona - Poblenou,Good,2.2045,41.4039,,,,5h,Good,32.0,5h,Good,30.0,14/11/2018 6:00,1542171902
Barcelona - Observ Fabra,Good,2.1239,41.4183,5h,Good,81.0,5h,Good,2.0,5h,Good,24.0,14/11/2018 6:00,1542171902
Barcelona - Sants,Good,2.1331,41.3788,,,,6h,Good,13.0,,,,14/11/2018 7:00,1542175502
Barcelona - Eixample,Moderate,2.1538,41.3853,6h,Good,16.0,6h,Good,41.0,6h,Moderate,39.0,14/11/2018 7:00,1542175502
Barcelona - Gràcia,Good,2.1534,41.3987,6h,Good,40.0,6h,Good,17.0,,,,14/11/2018 7:00,1542175502
Barcelona - Ciutadella,Good,2.1874,41.3864,6h,Good,14.0,6h,Good,28.0,,,,14/11/2018 7:00,1542175502
Barcelona - Vall Hebron,Good,2.148,41.4261,6h,Good,42.0,6h,Good,20.0,6h,Good,29.0,14/11/2018 7:00,1542175502
Barcelona - Palau Reial,Good,2.1151,41.3875,6h,Good,53.0,6h,Good,7.0,6h,Good,26.0,14/11/2018 7:00,1542175502
Barcelona - Poblenou,Good,2.2045,41.4039,,,,6h,Good,37.0,6h,Good,30.0,14/11/2018 7:00,1542175502
Barcelona - Observ Fabra,Good,2.1239,41.4183,6h,Good,80.0,6h,Good,2.0,6h,Good,23.0,14/11/2018 7:00,1542175502
Barcelona - Sants,Good,2.1331,41.3788,,,,7h,Good,24.0,,,,14/11/2018 8:00,1542179101
Barcelona - Eixample,Moderate,2.1538,41.3853,7h,Good,7.0,7h,Good,62.0,7h,Moderate,39.0,14/11/2018 8:00,1542179101
Barcelona - Gràcia,Good,2.1534,41.3987,7h,Good,23.0,7h,Good,37.0,,,,14/11/2018 8:00,1542179101
Barcelona - Ciutadella,Good,2.1874,41.3864,7h,Good,7.0,7h,Good,37.0,,,,14/11/2018 8:00,1542179101
Barcelona - Vall Hebron,Good,2.148,41.4261,7h,Good,23.0,7h,Good,37.0,7h,Good,28.0,14/11/2018 8:00,1542179101
Barcelona - Palau Reial,Good,2.1151,41.3875,7h,Good,45.0,7h,Good,16.0,7h,Good,26.0,14/11/2018 8:00,1542179101
Barcelona - Poblenou,Good,2.2045,41.4039,,,,7h,Good,42.0,7h,Good,30.0,14/11/2018 8:00,1542179101
Barcelona - Observ Fabra,Good,2.1239,41.4183,7h,Good,80.0,7h,Good,3.0,7h,Good,23.0,14/11/2018 8:00,1542179101
Barcelona - Sants,Good,2.1331,41.3788,,,,8h,Good,43.0,,,,14/11/2018 9:00,1542182701
Barcelona - Eixample,Moderate,2.1538,41.3853,8h,Good,6.0,8h,Good,84.0,8h,Moderate,39.0,14/11/2018 9:00,1542182701
Barcelona - Gràcia,Good,2.1534,41.3987,8h,Good,10.0,8h,Good,62.0,,,,14/11/2018 9:00,1542182701
Barcelona - Ciutadella,Good,2.1874,41.3864,8h,Good,3.0,8h,Good,51.0,,,,14/11/2018 9:00,1542182701
Barcelona - Vall Hebron,Good,2.148,41.4261,8h,Good,17.0,8h,Good,46.0,8h,Good,28.0,14/11/2018 9:00,1542182701
Barcelona - Palau Reial,Good,2.1151,41.3875,8h,Good,35.0,8h,Good,31.0,8h,Good,26.0,14/11/2018 9:00,1542182701
Barcelona - Poblenou,Good,2.2045,41.4039,,,,8h,Good,48.0,8h,Good,30.0,14/11/2018 9:00,1542182701
Barcelona - Observ Fabra,Good,2.1239,41.4183,8h,Good,79.0,8h,Good,5.0,8h,Good,23.0,14/11/2018 9:00,1542182701
Barcelona - Sants,Good,2.1331,41.3788,,,,9h,Good,58.0,,,,14/11/2018 10:00,1542186301
Barcelona - Eixample,Good,2.1538,41.3853,9h,Good,3.0,9h,Good,90.0,9h,Good,36.0,14/11/2018 10:00,1542186301
Barcelona - Gràcia,Good,2.1534,41.3987,9h,Good,23.0,9h,Good,56.0,,,,14/11/2018 10:00,1542186301
Barcelona - Ciutadella,Good,2.1874,41.3864,9h,Good,2.0,9h,Good,66.0,,,,14/11/2018 10:00,1542186301
Barcelona - Vall Hebron,Good,2.148,41.4261,9h,Good,15.0,9h,Good,60.0,9h,Good,26.0,14/11/2018 10:00,1542186301
Barcelona - Palau Reial,Good,2.1151,41.3875,9h,Good,26.0,9h,Good,45.0,9h,Good,26.0,14/11/2018 10:00,1542186301
Barcelona - Poblenou,Good,2.2045,41.4039,,,,9h,Good,56.0,9h,Good,31.0,14/11/2018 10:00,1542186301
Barcelona - Observ Fabra,Good,2.1239,41.4183,9h,Good,73.0,9h,Good,10.0,9h,Good,24.0,14/11/2018 10:00,1542186301
Barcelona - Sants,Good,2.1331,41.3788,,,,10h,Good,55.0,,,,14/11/2018 11:00,1542189902
Barcelona - Eixample,Good,2.1538,41.3853,10h,Good,8.0,10h,Good,85.0,10h,Good,36.0,14/11/2018 11:00,1542189902
Barcelona - Gràcia,Good,2.1534,41.3987,10h,Good,25.0,10h,Good,56.0,,,,14/11/2018 11:00,1542189902
Barcelona - Ciutadella,Good,2.1874,41.3864,10h,Good,5.0,10h,Good,68.0,,,,14/11/2018 11:00,1542189902
Barcelona - Vall Hebron,Good,2.148,41.4261,10h,Good,29.0,10h,Good,44.0,10h,Good,26.0,14/11/2018 11:00,1542189902
Barcelona - Palau Reial,Good,2.1151,41.3875,10h,Good,32.0,10h,Good,40.0,10h,Good,26.0,14/11/2018 11:00,1542189902
Barcelona - Poblenou,Good,2.2045,41.4039,,,,10h,Good,60.0,10h,Good,31.0,14/11/2018 11:00,1542189902
Barcelona - Observ Fabra,Good,2.1239,41.4183,10h,Good,66.0,10h,Good,17.0,10h,Good,24.0,14/11/2018 11:00,1542189902
Barcelona - Sants,Good,2.1331,41.3788,,,,11h,Good,48.0,,,,14/11/2018 12:00,1542193502
Barcelona - Eixample,Moderate,2.1538,41.3853,11h,Good,17.0,11h,Good,72.0,11h,Moderate,37.0,14/11/2018 12:00,1542193502
Barcelona - Gràcia,Good,2.1534,41.3987,11h,Good,29.0,11h,Good,53.0,,,,14/11/2018 12:00,1542193502
Barcelona - Ciutadella,Good,2.1874,41.3864,11h,Good,35.0,11h,Good,40.0,,,,14/11/2018 12:00,1542193502
Barcelona - Vall Hebron,Good,2.148,41.4261,11h,Good,39.0,11h,Good,35.0,11h,Good,26.0,14/11/2018 12:00,1542193502
Barcelona - Palau Reial,Good,2.1151,41.3875,11h,Good,43.0,11h,Good,28.0,11h,Good,26.0,14/11/2018 12:00,1542193502
Barcelona - Poblenou,Good,2.2045,41.4039,,,,11h,Good,35.0,11h,Good,31.0,14/11/2018 12:00,1542193502
Barcelona - Observ Fabra,Good,2.1239,41.4183,11h,Good,64.0,11h,Good,19.0,11h,Good,24.0,14/11/2018 12:00,1542193502
Barcelona - Sants,Good,2.1331,41.3788,,,,12h,Good,23.0,,,,14/11/2018 13:00,1542197102
Barcelona - Eixample,Moderate,2.1538,41.3853,12h,Good,44.0,12h,Good,52.0,12h,Moderate,37.0,14/11/2018 13:00,1542197102
Barcelona - Gràcia,Good,2.1534,41.3987,12h,Good,60.0,12h,Good,31.0,,,,14/11/2018 13:00,1542197102
Barcelona - Ciutadella,Good,2.1874,41.3864,12h,Good,53.0,12h,Good,24.0,,,,14/11/2018 13:00,1542197102
Barcelona - Vall Hebron,Good,2.148,41.4261,12h,Good,60.0,12h,Good,28.0,12h,Good,26.0,14/11/2018 13:00,1542197102
Barcelona - Palau Reial,Good,2.1151,41.3875,12h,Good,59.0,12h,Good,17.0,12h,Good,26.0,14/11/2018 13:00,1542197102
Barcelona - Poblenou,Good,2.2045,41.4039,,,,12h,Good,17.0,12h,Good,31.0,14/11/2018 13:00,1542197102
Barcelona - Observ Fabra,Good,2.1239,41.4183,12h,Good,73.0,12h,Good,18.0,12h,Good,24.0,14/11/2018 13:00,1542197102
Barcelona - Sants,Good,2.1331,41.3788,,,,13h,Good,20.0,,,,14/11/2018 14:00,1542200702
Barcelona - Eixample,Good,2.1538,41.3853,13h,Good,38.0,13h,Good,61.0,14h,Good,36.0,14/11/2018 14:00,1542200702
Barcelona - Gràcia,Good,2.1534,41.3987,13h,Good,60.0,13h,Good,34.0,,,,14/11/2018 14:00,1542200702
Barcelona - Ciutadella,Good,2.1874,41.3864,13h,Good,65.0,13h,Good,11.0,,,,14/11/2018 14:00,1542200702
Barcelona - Vall Hebron,Good,2.148,41.4261,13h,Good,75.0,13h,Good,15.0,13h,Good,26.0,14/11/2018 14:00,1542200702
Barcelona - Palau Reial,Good,2.1151,41.3875,13h,Good,64.0,13h,Good,13.0,13h,Good,26.0,14/11/2018 14:00,1542200702
Barcelona - Poblenou,Good,2.2045,41.4039,,,,13h,Good,14.0,13h,Good,30.0,14/11/2018 14:00,1542200702
Barcelona - Observ Fabra,Good,2.1239,41.4183,12h,Good,73.0,12h,Good,18.0,13h,Good,23.0,14/11/2018 14:00,1542200702
Barcelona - Sants,Good,2.1331,41.3788,,,,13h,Good,20.0,,,,14/11/2018 15:00,1542204301
Barcelona - Eixample,Good,2.1538,41.3853,14h,Good,45.0,14h,Good,52.0,14h,Good,36.0,14/11/2018 15:00,1542204301
Barcelona - Gràcia,Good,2.1534,41.3987,13h,Good,60.0,13h,Good,34.0,,,,14/11/2018 15:00,1542204301
Barcelona - Ciutadella,Good,2.1874,41.3864,14h,Good,62.0,14h,Good,14.0,,,,14/11/2018 15:00,1542204301
Barcelona - Vall Hebron,Good,2.148,41.4261,14h,Good,75.0,14h,Good,14.0,14h,Good,26.0,14/11/2018 15:00,1542204301
Barcelona - Palau Reial,Good,2.1151,41.3875,14h,Good,62.0,14h,Good,13.0,14h,Good,25.0,14/11/2018 15:00,1542204301
Barcelona - Poblenou,Good,2.2045,41.4039,,,,14h,Good,15.0,14h,Good,30.0,14/11/2018 15:00,1542204301
Barcelona - Observ Fabra,Good,2.1239,41.4183,12h,Good,73.0,12h,Good,18.0,14h,Good,23.0,14/11/2018 15:00,1542204301
Barcelona - Sants,Good,2.1331,41.3788,,,,13h,Good,20.0,,,,14/11/2018 16:00,1542207901
Barcelona - Eixample,Good,2.1538,41.3853,15h,Good,43.0,15h,Good,52.0,15h,Good,35.0,14/11/2018 16:00,1542207901
Barcelona - Gràcia,Good,2.1534,41.3987,13h,Good,60.0,13h,Good,34.0,,,,14/11/2018 16:00,1542207901
Barcelona - Ciutadella,Good,2.1874,41.3864,15h,Good,66.0,15h,Good,11.0,,,,14/11/2018 16:00,1542207901
Barcelona - Vall Hebron,Good,2.148,41.4261,15h,Good,76.0,15h,Good,12.0,15h,Good,26.0,14/11/2018 16:00,1542207901
Barcelona - Palau Reial,Good,2.1151,41.3875,15h,Good,63.0,15h,Good,12.0,15h,Good,25.0,14/11/2018 16:00,1542207901
Barcelona - Poblenou,Good,2.2045,41.4039,,,,15h,Good,12.0,15h,Good,30.0,14/11/2018 16:00,1542207901
Barcelona - Observ Fabra,Good,2.1239,41.4183,15h,Good,85.0,15h,Good,7.0,15h,Good,23.0,14/11/2018 16:00,1542207901
Barcelona - Sants,--,2.1331,41.3788,,,,14h,--,,,,,14/11/2018 17:00,1542211501
Barcelona - Eixample,Good,2.1538,41.3853,16h,Good,44.0,16h,Good,50.0,16h,Good,35.0,14/11/2018 17:00,1542211501
Barcelona - Gràcia,--,2.1534,41.3987,14h,--,,14h,--,,,,,14/11/2018 17:00,1542211501
Barcelona - Ciutadella,Good,2.1874,41.3864,16h,Good,60.0,16h,Good,15.0,,,,14/11/2018 17:00,1542211501
Barcelona - Vall Hebron,Good,2.148,41.4261,16h,Good,68.0,16h,Good,17.0,17h,Good,25.0,14/11/2018 17:00,1542211501
Barcelona - Palau Reial,Good,2.1151,41.3875,16h,Good,61.0,16h,Good,12.0,16h,Good,25.0,14/11/2018 17:00,1542211501
Barcelona - Poblenou,Good,2.2045,41.4039,,,,16h,Good,15.0,16h,Good,29.0,14/11/2018 17:00,1542211501
Barcelona - Observ Fabra,Good,2.1239,41.4183,16h,Good,79.0,16h,Good,11.0,16h,Good,23.0,14/11/2018 17:00,1542211501
Barcelona - Sants,--,2.1331,41.3788,,,,15h,--,,,,,14/11/2018 18:00,1542215101
Barcelona - Eixample,Good,2.1538,41.3853,17h,Good,37.0,17h,Good,59.0,17h,Good,34.0,14/11/2018 18:00,1542215101
Barcelona - Gràcia,--,2.1534,41.3987,15h,--,,15h,--,,,,,14/11/2018 18:00,1542215101
Barcelona - Ciutadella,Good,2.1874,41.3864,17h,Good,54.0,17h,Good,20.0,,,,14/11/2018 18:00,1542215101
Barcelona - Vall Hebron,Good,2.148,41.4261,17h,Good,63.0,17h,Good,22.0,17h,Good,25.0,14/11/2018 18:00,1542215101
Barcelona - Palau Reial,Good,2.1151,41.3875,17h,Good,55.0,17h,Good,20.0,17h,Good,25.0,14/11/2018 18:00,1542215101
Barcelona - Poblenou,Good,2.2045,41.4039,,,,17h,Good,17.0,17h,Good,29.0,14/11/2018 18:00,1542215101
Barcelona - Observ Fabra,Good,2.1239,41.4183,17h,Good,78.0,17h,Good,12.0,17h,Good,23.0,14/11/2018 18:00,1542215101
Barcelona - Sants,--,2.1331,41.3788,,,,16h,--,,,,,14/11/2018 19:00,1542218702
Barcelona - Eixample,Good,2.1538,41.3853,18h,Good,25.0,18h,Good,71.0,18h,Good,34.0,14/11/2018 19:00,1542218702
Barcelona - Gràcia,Good,2.1534,41.3987,18h,Good,45.0,18h,Good,41.0,,,,14/11/2018 19:00,1542218702
Barcelona - Ciutadella,Good,2.1874,41.3864,18h,Good,55.0,18h,Good,15.0,,,,14/11/2018 19:00,1542218702
Barcelona - Vall Hebron,Good,2.148,41.4261,18h,Good,50.0,18h,Good,33.0,18h,Good,25.0,14/11/2018 19:00,1542218702
Barcelona - Palau Reial,Good,2.1151,41.3875,18h,Good,43.0,18h,Good,32.0,18h,Good,25.0,14/11/2018 19:00,1542218702
Barcelona - Poblenou,Good,2.2045,41.4039,,,,18h,Good,21.0,18h,Good,29.0,14/11/2018 19:00,1542218702
Barcelona - Observ Fabra,Good,2.1239,41.4183,18h,Good,68.0,18h,Good,19.0,18h,Good,23.0,14/11/2018 19:00,1542218702
Barcelona - Sants,--,2.1331,41.3788,,,,17h,--,,,,,14/11/2018 20:00,1542222302
Barcelona - Eixample,Good,2.1538,41.3853,19h,Good,21.0,19h,Good,72.0,19h,Good,34.0,14/11/2018 20:00,1542222302
Barcelona - Gràcia,Good,2.1534,41.3987,19h,Good,41.0,19h,Good,47.0,,,,14/11/2018 20:00,1542222302
Barcelona - Ciutadella,Good,2.1874,41.3864,19h,Good,50.0,19h,Good,20.0,,,,14/11/2018 20:00,1542222302
Barcelona - Vall Hebron,Good,2.148,41.4261,19h,Good,51.0,19h,Good,32.0,19h,Good,25.0,14/11/2018 20:00,1542222302
Barcelona - Palau Reial,Good,2.1151,41.3875,19h,Good,41.0,19h,Good,32.0,19h,Good,25.0,14/11/2018 20:00,1542222302
Barcelona - Poblenou,Good,2.2045,41.4039,,,,19h,Good,19.0,19h,Good,29.0,14/11/2018 20:00,1542222302
Barcelona - Observ Fabra,Good,2.1239,41.4183,19h,Good,68.0,19h,Good,18.0,19h,Good,23.0,14/11/2018 20:00,1542222302
Barcelona - Sants,--,2.1331,41.3788,,,,18h,--,,,,,14/11/2018 21:00,1542225901
Barcelona - Eixample,Good,2.1538,41.3853,20h,Good,14.0,20h,Good,76.0,20h,Good,34.0,14/11/2018 21:00,1542225901
Barcelona - Gràcia,Good,2.1534,41.3987,20h,Good,36.0,20h,Good,47.0,,,,14/11/2018 21:00,1542225901
Barcelona - Ciutadella,Good,2.1874,41.3864,20h,Good,46.0,20h,Good,21.0,,,,14/11/2018 21:00,1542225901
Barcelona - Vall Hebron,Good,2.148,41.4261,20h,Good,37.0,20h,Good,41.0,20h,Good,25.0,14/11/2018 21:00,1542225901
Barcelona - Palau Reial,Good,2.1151,41.3875,20h,Good,37.0,20h,Good,33.0,20h,Good,24.0,14/11/2018 21:00,1542225901
Barcelona - Poblenou,Good,2.2045,41.4039,,,,20h,Good,25.0,20h,Good,29.0,14/11/2018 21:00,1542225901
Barcelona - Observ Fabra,Good,2.1239,41.4183,20h,Good,64.0,20h,Good,17.0,20h,Good,22.0,14/11/2018 21:00,1542225901
Barcelona - Sants,--,2.1331,41.3788,,,,19h,--,,,,,14/11/2018 22:00,1542229501
Barcelona - Eixample,Good,2.1538,41.3853,21h,Good,11.0,21h,Good,76.0,21h,Good,33.0,14/11/2018 22:00,1542229501
Barcelona - Gràcia,Good,2.1534,41.3987,21h,Good,24.0,21h,Good,54.0,,,,14/11/2018 22:00,1542229501
Barcelona - Ciutadella,Good,2.1874,41.3864,21h,Good,35.0,21h,Good,32.0,,,,14/11/2018 22:00,1542229501
Barcelona - Vall Hebron,Good,2.148,41.4261,21h,Good,22.0,21h,Good,53.0,21h,Good,25.0,14/11/2018 22:00,1542229501
Barcelona - Palau Reial,Good,2.1151,41.3875,21h,Good,24.0,21h,Good,46.0,21h,Good,25.0,14/11/2018 22:00,1542229501
Barcelona - Poblenou,Good,2.2045,41.4039,,,,21h,Good,33.0,21h,Good,29.0,14/11/2018 22:00,1542229501
Barcelona - Observ Fabra,Good,2.1239,41.4183,21h,Good,53.0,21h,Good,24.0,21h,Good,22.0,14/11/2018 22:00,1542229501
Barcelona - Sants,Good,2.1331,41.3788,,,,22h,Good,37.0,,,,14/11/2018 23:00,1542233102
Barcelona - Eixample,Good,2.1538,41.3853,22h,Good,20.0,22h,Good,57.0,22h,Good,33.0,14/11/2018 23:00,1542233102
Barcelona - Gràcia,Good,2.1534,41.3987,22h,Good,17.0,22h,Good,59.0,,,,14/11/2018 23:00,1542233102
Barcelona - Ciutadella,Good,2.1874,41.3864,22h,Good,33.0,22h,Good,30.0,,,,14/11/2018 23:00,1542233102
Barcelona - Vall Hebron,Good,2.148,41.4261,22h,Good,20.0,22h,Good,52.0,22h,Good,25.0,14/11/2018 23:00,1542233102
Barcelona - Palau Reial,Good,2.1151,41.3875,22h,Good,26.0,22h,Good,41.0,22h,Good,25.0,14/11/2018 23:00,1542233102
Barcelona - Poblenou,Good,2.2045,41.4039,,,,,,,23h,Good,29.0,14/11/2018 23:00,1542233102
Barcelona - Observ Fabra,Good,2.1239,41.4183,22h,Good,54.0,22h,Good,22.0,22h,Good,21.0,14/11/2018 23:00,1542233102
Barcelona - Sants,Good,2.1331,41.3788,,,,23h,Good,27.0,,,,15/11/2018 0:00,1542236701
Barcelona - Eixample,Good,2.1538,41.3853,23h,Good,25.0,23h,Good,48.0,23h,Good,33.0,15/11/2018 0:00,1542236701
Barcelona - Gràcia,Good,2.1534,41.3987,23h,Good,24.0,23h,Good,47.0,,,,15/11/2018 0:00,1542236701
Barcelona - Ciutadella,Good,2.1874,41.3864,23h,Good,36.0,23h,Good,23.0,,,,15/11/2018 0:00,1542236701
Barcelona - Vall Hebron,Good,2.148,41.4261,23h,Good,19.0,23h,Good,52.0,23h,Good,26.0,15/11/2018 0:00,1542236701
Barcelona - Palau Reial,Good,2.1151,41.3875,23h,Good,28.0,23h,Good,36.0,23h,Good,25.0,15/11/2018 0:00,1542236701
Barcelona - Poblenou,Good,2.2045,41.4039,,,,23h,Good,26.0,23h,Good,29.0,15/11/2018 0:00,1542236701
Barcelona - Observ Fabra,Good,2.1239,41.4183,23h,Good,54.0,23h,Good,21.0,23h,Good,21.0,15/11/2018 0:00,1542236701
Barcelona - Sants,Good,2.1331,41.3788,,,,0h,Good,15.0,,,,15/11/2018 1:00,1542240302
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,35.0,0h,Good,39.0,0h,Good,33.0,15/11/2018 1:00,1542240302
Barcelona - Gràcia,Good,2.1534,41.3987,0h,Good,47.0,0h,Good,21.0,,,,15/11/2018 1:00,1542240302
Barcelona - Ciutadella,Good,2.1874,41.3864,0h,Good,46.0,0h,Good,12.0,,,,15/11/2018 1:00,1542240302
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,20.0,0h,Good,44.0,0h,Good,26.0,15/11/2018 1:00,1542240302
Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,48.0,0h,Good,13.0,0h,Good,25.0,15/11/2018 1:00,1542240302
Barcelona - Poblenou,Good,2.2045,41.4039,,,,0h,Good,9.0,0h,Good,29.0,15/11/2018 1:00,1542240302
Barcelona - Observ Fabra,Good,2.1239,41.4183,0h,Good,66.0,0h,Good,10.0,0h,Good,21.0,15/11/2018 1:00,1542240302
Barcelona - Sants,Good,2.1331,41.3788,,,,1h,Good,20.0,,,,15/11/2018 2:00,1542243902
Barcelona - Eixample,Good,2.1538,41.3853,1h,Good,36.0,1h,Good,35.0,1h,Good,33.0,15/11/2018 2:00,1542243902
Barcelona - Gràcia,Good,2.1534,41.3987,1h,Good,54.0,1h,Good,12.0,,,,15/11/2018 2:00,1542243902
Barcelona - Ciutadella,Good,2.1874,41.3864,1h,Good,49.0,1h,Good,10.0,,,,15/11/2018 2:00,1542243902
Barcelona - Vall Hebron,Good,2.148,41.4261,1h,Good,34.0,1h,Good,25.0,1h,Good,26.0,15/11/2018 2:00,1542243902
Barcelona - Palau Reial,Good,2.1151,41.3875,1h,Good,51.0,1h,Good,8.0,1h,Good,25.0,15/11/2018 2:00,1542243902
Barcelona - Poblenou,Good,2.2045,41.4039,,,,1h,Good,6.0,1h,Good,29.0,15/11/2018 2:00,1542243902
Barcelona - Observ Fabra,Good,2.1239,41.4183,1h,Good,64.0,1h,Good,10.0,1h,Good,20.0,15/11/2018 2:00,1542243902
Barcelona - Sants,Good,2.1331,41.3788,,,,2h,Good,16.0,,,,15/11/2018 3:00,1542247502
Barcelona - Eixample,Good,2.1538,41.3853,2h,Good,32.0,2h,Good,31.0,2h,Good,33.0,15/11/2018 3:00,1542247502
Barcelona - Gràcia,Good,2.1534,41.3987,2h,Good,39.0,2h,Good,19.0,,,,15/11/2018 3:00,1542247502
Barcelona - Ciutadella,Good,2.1874,41.3864,2h,Good,42.0,2h,Good,15.0,,,,15/11/2018 3:00,1542247502
Barcelona - Vall Hebron,Good,2.148,41.4261,2h,Good,39.0,2h,Good,15.0,2h,Good,27.0,15/11/2018 3:00,1542247502
Barcelona - Palau Reial,Good,2.1151,41.3875,2h,Good,46.0,2h,Good,9.0,2h,Good,25.0,15/11/2018 3:00,1542247502
Barcelona - Poblenou,Good,2.2045,41.4039,,,,2h,Good,15.0,2h,Good,28.0,15/11/2018 3:00,1542247502
Barcelona - Observ Fabra,Good,2.1239,41.4183,2h,Good,67.0,2h,Good,7.0,2h,Good,20.0,15/11/2018 3:00,1542247502
Barcelona - Sants,Good,2.1331,41.3788,,,,3h,Good,15.0,,,,15/11/2018 4:00,1542251102
Barcelona - Eixample,Good,2.1538,41.3853,3h,Good,32.0,3h,Good,27.0,3h,Good,33.0,15/11/2018 4:00,1542251102
Barcelona - Gràcia,Good,2.1534,41.3987,3h,Good,40.0,3h,Good,15.0,,,,15/11/2018 4:00,1542251102
Barcelona - Ciutadella,Good,2.1874,41.3864,3h,Good,30.0,3h,Good,21.0,,,,15/11/2018 4:00,1542251102
Barcelona - Vall Hebron,Good,2.148,41.4261,3h,Good,37.0,3h,Good,12.0,3h,Good,27.0,15/11/2018 4:00,1542251102
Barcelona - Palau Reial,Good,2.1151,41.3875,3h,Good,46.0,3h,Good,6.0,3h,Good,25.0,15/11/2018 4:00,1542251102
Barcelona - Poblenou,Good,2.2045,41.4039,,,,3h,Good,22.0,3h,Good,28.0,15/11/2018 4:00,1542251102
Barcelona - Observ Fabra,Good,2.1239,41.4183,3h,Good,71.0,3h,Good,5.0,3h,Good,19.0,15/11/2018 4:00,1542251102
Barcelona - Sants,Good,2.1331,41.3788,,,,4h,Good,12.0,,,,15/11/2018 5:00,1542254701
Barcelona - Eixample,Good,2.1538,41.3853,4h,Good,33.0,4h,Good,24.0,4h,Good,33.0,15/11/2018 5:00,1542254701
Barcelona - Gràcia,Good,2.1534,41.3987,4h,Good,40.0,4h,Good,15.0,,,,15/11/2018 5:00,1542254701
Barcelona - Ciutadella,Good,2.1874,41.3864,4h,Good,33.0,4h,Good,18.0,,,,15/11/2018 5:00,1542254701
Barcelona - Vall Hebron,Good,2.148,41.4261,4h,Good,40.0,4h,Good,10.0,4h,Good,28.0,15/11/2018 5:00,1542254701
Barcelona - Palau Reial,Good,2.1151,41.3875,4h,Good,43.0,4h,Good,6.0,4h,Good,25.0,15/11/2018 5:00,1542254701
Barcelona - Poblenou,Good,2.2045,41.4039,,,,4h,Good,18.0,4h,Good,28.0,15/11/2018 5:00,1542254701
Barcelona - Observ Fabra,Good,2.1239,41.4183,4h,Good,71.0,4h,Good,4.0,4h,Good,19.0,15/11/2018 5:00,1542254701
