District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
Eixample,la Dreta de l'Eixample,ARAGÓ                                             ,Wednesday,January,11,9,Morning,2,0,2,2,2.162906,41.390878
Eixample,la Dreta de l'Eixample,ARAGÓ / Bailèn                                    ,Friday,February,3,8,Morning,1,0,1,2,2.170918,41.396687
Eixample,la Dreta de l'Eixample,TRAFALGAR                                         ,Saturday,January,14,16,Afternoon,2,0,2,1,2.179072,41.390646
Eixample,la Dreta de l'Eixample,Corts Catalanes                                   ,Sunday,August,6,4,Night,2,0,2,2,2.170962,41.391115
Eixample,la Dreta de l'Eixample,Corts Catalanes / Catalunya                       ,Tuesday,May,9,20,Afternoon,1,0,1,2,2.167024,41.388486
Eixample,la Dreta de l'Eixample,Corts Catalanes / Gràcia                          ,Monday,April,17,18,Afternoon,1,0,1,2,2.168274,41.389418
Eixample,la Dreta de l'Eixample,Pau Claris / Sant Pere                            ,Saturday,May,20,12,Morning,1,0,1,1,2.171823,41.389044
Eixample,la Dreta de l'Eixample,RDA SANT PERE / Pl Catalunya                      ,Saturday,March,4,19,Afternoon,2,0,2,2,2.170085,41.387952
Eixample,la Dreta de l'Eixample,Pau Claris                                        ,Tuesday,May,30,10,Morning,1,0,1,1,2.171614,41.389197
Eixample,la Dreta de l'Eixample,Diputació / Balmes                                ,Thursday,June,8,16,Afternoon,2,0,2,2,2.164116,41.388186
Eixample,la Dreta de l'Eixample,Balmes                                            ,Thursday,September,28,9,Morning,1,0,1,2,2.162805,41.389318
Eixample,la Dreta de l'Eixample,Diputació                                         ,Thursday,November,16,10,Morning,1,0,1,2,2.171219,41.393675
Eixample,la Dreta de l'Eixample,Diputació                                         ,Wednesday,November,29,8,Morning,1,0,1,1,2.171346,41.39377
Eixample,la Dreta de l'Eixample,Bailèn / Diputació                                ,Wednesday,December,20,17,Afternoon,1,0,1,2,2.17318,41.39498
Eixample,la Dreta de l'Eixample,TRAFALGAR / Pl Urquinaona                         ,Wednesday,February,8,11,Morning,1,0,1,1,2.17373,41.388956
Eixample,la Dreta de l'Eixample,PG GRÀCIA / GV Corts Catalanes                    ,Friday,January,6,12,Morning,1,0,1,2,2.168274,41.389418
